Actor ID,Movie Title
10921,Payment Deferred
10921,The Private Life of Henry VIII
10921,Captain Kidd
10921,This Land Is Mine
10921,Hobson's Choice
10921,The Strange Door
10921,The Man on the Eiffel Tower
10921,Rembrandt
10921,St. Martin's Lane
10921,The Tuttles of Tahiti
10921,The Man from Down Under
10921,The Beachcomber
10921,The Canterville Ghost
10921,The Hunchback of Notre Dame
10921,It Started with Eve
10921,Salome
10921,Les Misérables
10921,Because of Him
10921,Advise & Consent
10921,The Big Clock
10921,They Knew What They Wanted
10921,Stand by for Action
10921,If I Had a Million
10921,The Blue Veil
10921,Under Ten Flags
10921,White Woman
10921,O. Henry's Full House
10921,Wolves
10921,Down River
10921,The Clerk
10921,The Old Dark House
10921,The Paradine Case
10921,The Bribe
10921,Arch of Triumph
10921,Witness for the Prosecution
10921,The Barretts of Wimpole Street
10921,Abbott and Costello Meet Captain Kidd
10921,Devil and the Deep
10921,The Girl from Manhattan
10921,Spartacus
10921,Young Bess
10921,The Sign of the Cross
10921,Daydreams
10921,The Tonic
10921,Comets
10921,Tales of Manhattan
10921,Blue Bottles
10921,Leben des Galilei
10921,The Art Director
10921,The Epic That Never Was
10921,Piccadilly
10921,Cavalcade of the Academy Awards
10921,Forever and a Day
10921,Dead Men Don't Wear Plaid
10921,On Our Merry Way
10921,1939: Hollywood's Greatest Year
10921,Preminger: Anatomy of a Filmmaker
10921,Hollywood Out-takes and Rare Footage
10921,Hollywood Without Make-Up
6598,Bringing Up Baby
6598,On Golden Pond
6598,Morning Glory
6598,Sylvia Scarlett
6598,Keeper of the Flame
6598,Long Day's Journey Into Night
6598,Christopher Strong
6598,The Little Minister
6598,Stage Door
6598,Mary of Scotland
6598,Alice Adams
6598,Undercurrent
6598,Holiday
6598,Spitfire
6598,A Delicate Balance
6598,The Trojan Women
6598,Little Women
6598,Summertime
6598,Quality Street
6598,The Glass Menagerie
6598,Grace Quigley
6598,A Woman Rebels
6598,Dragon Seed
6598,Mrs. Delafield Wants to Marry
6598,Song of Love
6598,Love Among the Ruins
6598,Break of Hearts
6598,One Christmas
6598,The Corn Is Green
6598,The Madwoman of Chaillot
6598,The Man Upstairs
6598,This Can't Be Love
6598,Laura Lansing Slept Here
6598,Olly Olly Oxen Free
6598,The African Queen
6598,The Philadelphia Story
6598,Woman of the Year
6598,Desk Set
6598,Without Love
6598,Adam's Rib
6598,Pat and Mike
6598,State of the Union
6598,The Iron Petticoat
6598,Suddenly Last Summer
6598,The Rainmaker
6598,Rooster Cogburn
6598,The Lion in Winter
6598,The Sea of Grass
6598,Katharine Hepburn: All About Me
6598,Women in Defense
6598,Katharine Hepburn as Joan of Arc in Technicolor Screen Test
6598,Guess Who's Coming to Dinner
6598,Love Affair
6598,A Bill of Divorcement
6598,Early Directors on Directing
6598,Michael Jackson: The Legend Continues
